UTC_hour,apex_alt_deg,apex_az_deg
1.533333333333333215e+01,4.037175184220930646e+01,2.959789971508535587e+02
1.541666666666666607e+01,3.956791935834349516e+01,2.965229504423639355e+02
1.550000000000000000e+01,3.876789742209345491e+01,2.970700216244721332e+02
1.558333333333333215e+01,3.797178149389467450e+01,2.976203006881237343e+02
1.566666666666666607e+01,3.717966816903874872e+01,2.981738767696505192e+02
1.575000000000000000e+01,3.639165605912681656e+01,2.987308376286803764e+02
1.583333333333333215e+01,3.560784507396578391e+01,2.992912702219419430e+02
1.591666666666666607e+01,3.482833676868182238e+01,2.998552605259358756e+02
1.600000000000000000e+01,3.405323467978179508e+01,3.004228933400212895e+02
1.608333333333333215e+01,3.328264361896351176e+01,3.009942528385857372e+02
1.616666666666666430e+01,3.251667052743697184e+01,3.015694219737216031e+02
1.625000000000000000e+01,3.175542367103203745e+01,3.021484830904583987e+02
1.633333333333333215e+01,3.099901348217192520e+01,3.027315173030077631e+02
1.641666666666666430e+01,3.024755176221509601e+01,3.033186051007155015e+02
1.650000000000000000e+01,2.950115251012180195e+01,3.039098256990171762e+02
1.658333333333333215e+01,2.875993123102060167e+01,3.045052575575995206e+02
1.666666666666666430e+01,2.802400525533701980e+01,3.051049781074405587e+02
1.675000000000000000e+01,2.729349404339922813e+01,3.057090634601012198e+02
1.683333333333333215e+01,2.656851850598420128e+01,3.063175889177823592e+02
1.691666666666666430e+01,2.584920179504116078e+01,3.069306282636308083e+02
1.700000000000000000e+01,2.513566853068311957e+01,3.075482543457920883e+02
1.708333333333333215e+01,2.442804557466807225e+01,3.081705383438899730e+02
1.716666666666666430e+01,2.372646126406652556e+01,3.087975503488176514e+02
1.725000000000000000e+01,2.303104616621154577e+01,3.094293586054641310e+02
1.733333333333333215e+01,2.234193241078202519e+01,3.100660300032074019e+02
1.741666666666666430e+01,2.165925396498093392e+01,3.107076297234461890e+02
1.750000000000000000e+01,2.098314688979023401e+01,3.113542208687872517e+02
1.758333333333333215e+01,2.031374868288587976e+01,3.120058649506713664e+02
1.766666666666666430e+01,1.965119898141482224e+01,3.126626210727988564e+02
1.775000000000000000e+01,1.899563881603589621e+01,3.133245465021778386e+02
1.783333333333333215e+01,1.834721129131383321e+01,3.139916958281113466e+02
1.791666666666666430e+01,1.770606084514763268e+01,3.146641215321843106e+02
1.800000000000000000e+01,1.707233390294046771e+01,3.153418731255229090e+02
1.808333333333333215e+01,1.644617822647556693e+01,3.160249976258464244e+02
1.816666666666666430e+01,1.582774312398736782e+01,3.167135391325530236e+02
1.825000000000000000e+01,1.521717963618588776e+01,3.174075383838194284e+02
1.833333333333333215e+01,1.461463989422359866e+01,3.181070332373547558e+02
1.841666666666666430e+01,1.402027770417398678e+01,3.188120577541787952e+02
1.850000000000000000e+01,1.343424782392850325e+01,3.195226427733592800e+02
