tau_s,P_tpc_resolved,P_tpc_merged,P_rfr,P_prompt,P_delayed,P_clean,P_tpc,P_notclean
3.5481338923357606e-07,0.5558809288481825,0.32658590277834176,0.0027425616091200956,0.0,0.039920009751752146,0.07484067699291645,0.8824668316265243,0.9251593230070836
3.981071705534969e-07,0.5610439668907029,0.2970277069117273,0.003419931938129202,0.0,0.048732349511516365,0.08971829619188233,0.8580716738024302,0.9102817038081177
4.466835921509635e-07,0.5615603725687295,0.269586040351953,0.004134429855788279,0.0,0.058351461139648064,0.1062643702166765,0.8311464129206825,0.8937356297833235
5.011872336272725e-07,0.5576172678010664,0.24422196275174368,0.00485704615155707,0.0,0.0685555417080539,0.12457550394100095,0.80183923055281,0.8754244960589991
5.62341325190349e-07,0.5494906235506395,0.22087061086410345,0.00555740657338557,0.0,0.07905927427183189,0.14475074011626674,0.7703612344147429,0.8552492598837332
6.309573444801942e-07,0.5375351819126356,0.1994478615066494,0.006206654628382969,0.0,0.08953111211453153,0.16687587685291036,0.736983043419285,0.8331241231470896
7.079457843841374e-07,0.5221711594745728,0.17985605882451222,0.006779893365579333,0.0,0.09961707326411351,0.19100578003755486,0.702027218299085,0.8089942199624451
7.943282347242822e-07,0.5038679708715372,0.16198881850747127,0.007257903264568347,0.0,0.10896791260590703,0.21714761591393064,0.6658567893790085,0.7828523840860694
8.912509381337459e-07,0.4831258860862014,0.14573496522661908,0.007628027890535753,0.0,0.1172659154308889,0.24524773610755876,0.6288608513128204,0.7547522638924412
1e-06,0.46045696775138,0.13098168521455056,0.007884272439198708,0.0,0.124247747006009,0.27518426692377,0.5914386529659306,0.7248157330762299
1.1220184543019652e-06,0.4363667533196667,0.11761698827876926,0.0080267659916652,0.0,0.12972069498042169,0.3067664408824393,0.5539837415984359,0.6932335591175607
1.2589254117941661e-06,0.4113379824500152,0.10553157654097167,0.008060789314733651,0.0,0.1335709585033863,0.3397405915603295,0.5168695589909869,0.6602594084396705
1.4125375446227554e-06,0.3858173156640392,0.09462021398011765,0.007995573945413486,0.0,0.1357640075363721,0.3738017510874952,0.48043752964415687,0.6261982489125049
1.584893192461114e-06,0.36020555705734103,0.08478268383075743,0.007843049898380593,0.0,0.1363381548012809,0.40860911966564145,0.44498824088809846,0.5913908803343586
1.778279410038923e-06,0.3348514766661587,0.07592441181527561,0.007616674476047036,0.0,0.13539317989414973,0.44380339384248224,0.4107758884814343,0.5561966061575178
1.995262314968883e-06,0.31004898982033263,0.0679568233102153,0.007330426354696036,0.0,0.13307609090679579,0.4790240201342377,0.37800581313054793,0.5209759798657623
2.2387211385683376e-06,0.2860372199935802,0.06079749269221428,0.006998006004206006,0.0,0.1295659803113749,0.5139247879914158,0.3468347126857945,0.48607521200858417
