set,output,n,n_total,frac_undefined,p2p5,p16,median,p84,p97p5,half68,half95,mean,std,median_incl_inf,p84_incl_inf,p97p5_incl_inf,rho_rho0,S1_rho0,rho_v0,S1_v0,rho_vesc,S1_vesc,rho_dVsun,S1_dVsun,rho_k,S1_k,rho_frame_idx,S1_frame_idx
A_annual,log10d10,400,400,0,-0.6587,-0.6454,-0.6071,-0.5684,-0.5495,0.03846,0.05458,-0.6066,0.03266,,,,-0.9877,0.9573,-0.134,0.04702,-0.05084,0.01875,-0.1758,0.04762,0.07018,0.01351,,
A_annual,a1_300,400,400,0,0.2908,0.3757,0.553,0.8769,1.209,0.2506,0.4591,0.6119,0.2486,,,,-0.003137,0.03174,-0.5915,0.3471,-0.8967,0.7927,-0.1401,0.03728,0.3617,0.1186,,
A_annual,a1_350,397,400,0.0075,0.5469,0.7809,1.272,1.737,1.899,0.4781,0.6761,1.257,0.4173,,,,1.247e-05,0.03369,-0.6169,0.3843,-0.954,0.8897,-0.1374,0.03607,0.1537,0.04398,,
A_annual,a1_366,366,400,0.085,0.7077,0.9979,1.49,1.789,1.932,0.3955,0.6121,1.423,0.364,,,,0.032,0.02654,-0.5729,0.3187,-0.9518,0.8848,-0.09365,0.02973,0.1303,0.0415,,
A_annual,a1_380,313,400,0.2175,0.8708,1.199,1.602,1.812,1.932,0.3066,0.5306,1.527,0.2922,,,,-0.02353,0.01553,-0.4956,0.274,-0.9414,0.8647,-0.1337,0.03844,0.1624,0.04418,,
A_annual,a1_L10,400,400,0,0.01752,0.02019,0.02479,0.0296,0.03444,0.004702,0.00846,0.02507,0.004551,,,,-0.02391,0.01781,-0.8451,0.6929,-0.5849,0.3382,-0.1326,0.03549,0.402,0.2013,,
A_annual,pct248_300,400,400,0,98.82,99.17,99.41,99.53,99.58,0.1792,0.3806,99.35,0.2067,,,,0.00434,0.02944,0.5955,0.3245,0.888,0.7372,0.1452,0.03759,-0.3767,0.1176,,
A_annual,pct248_350,397,400,0.0075,0.2323,76.84,96.87,98.62,99.09,10.89,49.43,86.38,23.9,,,,-0.0001996,0.03187,0.6158,0.2414,0.9475,0.6951,0.1405,0.03384,-0.1829,0.01495,,
B_joint_indep,log10kappa_300,200,200,0,-4.586,-4.298,-3.857,-3.227,-2.364,0.5351,1.111,-3.774,0.5579,-3.859,-3.234,-2.366,-0.1301,0.07884,-0.4965,0.2647,-0.5979,0.4027,-0.1989,0.08043,0.4669,0.1907,-0.08813,0.04368
B_joint_indep,log10kappa_350,194,200,0.03,-3.465,-2.898,-1.945,0.1847,3.591,1.542,3.528,-1.403,1.813,-1.836,0.4927,inf,-0.07546,0.02337,-0.3459,0.1467,-0.7886,0.6134,-0.1637,0.05439,0.2876,0.07609,-0.05699,0.01025
B_joint_indep,log10kappa_366,181,200,0.095,-2.932,-2.175,-0.8903,1.622,5.023,1.898,3.977,-0.2944,2.184,-0.4504,3.286,inf,-0.0817,0.03339,-0.2554,0.0763,-0.8109,0.611,-0.1312,0.06122,0.2472,0.0735,-0.09999,0.01566
B_joint_indep,log10kappa_380,159,200,0.205,-2.361,-1.57,0.3047,2.862,5.976,2.216,4.169,0.6918,2.442,1.154,inf,inf,-0.04187,0.09826,-0.2399,0.07402,-0.8008,0.5162,-0.1016,0.03689,0.2384,0.1003,-0.06379,0.004343
B_joint_indep,deltaH_N1,200,200,0,312,333.2,356.1,380.2,395.4,23.49,41.66,356.8,22.18,,,,0.09995,0.05069,0.3707,0.1907,0.8308,0.6801,0.2007,0.07604,-0.244,0.0751,0.1223,0.02578
B_joint_indep,deltamax_june,200,200,0,343,360.5,390.2,418.6,434.1,29.07,45.57,389.8,25.54,,,,0.1355,0.04362,0.2858,0.1379,0.9517,0.8846,0.1912,0.06473,0.09049,0.02292,,
B_joint_indep,log10d10,200,200,0,-0.6633,-0.6475,-0.6072,-0.5716,-0.5556,0.03794,0.05384,-0.6081,0.03241,,,,-0.9853,0.953,-0.1512,0.05603,-0.1573,0.04967,-0.02842,0.02834,-0.1218,0.03572,-0.01885,0.00323
B_joint_indep,a1_300,200,200,0,0.3215,0.3897,0.5394,0.8222,1.155,0.2163,0.4166,0.5999,0.2248,,,,-0.05755,0.05056,-0.2911,0.1395,-0.8479,0.7308,-0.1819,0.07836,0.3199,0.08588,,
B_joint_indep,a1_350,199,200,0.005,0.6218,0.8037,1.26,1.705,1.866,0.4507,0.6222,1.26,0.3824,,,,-0.1066,0.02704,-0.2644,0.1226,-0.9358,0.8692,-0.1868,0.05492,0.07583,0.02392,,
B_joint_indep,a1_366,186,200,0.07,0.8273,1.038,1.521,1.751,1.932,0.3565,0.5523,1.444,0.3275,,,,-0.1473,0.04494,-0.1829,0.07927,-0.9352,0.8732,-0.1243,0.02777,0.04231,0.02556,,
B_joint_indep,a1_380,167,200,0.165,1.046,1.268,1.653,1.807,1.932,0.2696,0.4428,1.568,0.2591,,,,-0.1005,0.02558,-0.1221,0.05509,-0.9238,0.8533,-0.09795,0.0342,0.06432,0.02793,,
B_joint_indep,a1_L10,200,200,0,0.01754,0.02084,0.02474,0.02973,0.03303,0.004445,0.007745,0.02503,0.004207,,,,0.01884,0.08684,-0.8348,0.6797,-0.2051,0.0906,-0.1542,0.05344,0.4149,0.2231,,
B_joint_indep,pct248_300,200,200,0,98.74,99.22,99.44,99.52,99.56,0.1506,0.4126,99.37,0.2082,,,,0.03973,0.06484,0.3178,0.1392,0.7937,0.579,0.1958,0.08286,-0.3621,0.06737,0.09413,0.04806
B_joint_indep,pct248_350,194,200,0.03,0,83.94,96.87,98.6,98.96,7.333,49.48,87.69,23.68,,,,0.06479,0.01627,0.2563,0.08124,0.899,0.5662,0.1434,0.04899,-0.1048,0.03708,0.08949,0.01236
B_annual_indep,log10kappa_300,200,200,0,-4.478,-4.239,-3.797,-3.166,-2.509,0.5368,0.9847,-3.726,0.5383,-3.8,-3.166,-2.509,-0.1387,0.08288,-0.485,0.2624,-0.6462,0.4601,-0.1953,0.0808,0.4674,0.2139,,
B_annual_indep,log10kappa_350,199,200,0.005,-3.394,-2.826,-1.841,0.215,3.588,1.521,3.491,-1.271,1.832,-1.841,0.2573,4.03,-0.1047,0.04282,-0.3575,0.1726,-0.8313,0.6873,-0.1905,0.08885,0.2902,0.05518,,
B_annual_indep,log10kappa_366,186,200,0.07,-2.887,-2.157,-0.7978,2.202,5.753,2.18,4.32,-0.1732,2.241,-0.6983,2.471,inf,-0.1399,0.06058,-0.2554,0.1052,-0.8528,0.7149,-0.1235,0.0277,0.2505,0.08103,,
B_annual_indep,log10kappa_380,167,200,0.165,-2.339,-1.402,0.3524,2.902,6.969,2.152,4.654,0.8664,2.593,0.893,inf,inf,-0.08447,0.03604,-0.1815,0.08523,-0.8483,0.6175,-0.109,0.02002,0.2753,0.113,,
B_annual_indep,deltaH_N1,200,200,0,316.9,333.1,357.5,379.9,395.3,23.38,39.22,356.3,21.87,,,,0.1106,0.05786,0.3581,0.1804,0.8563,0.7233,0.1969,0.07581,-0.2517,0.0839,,
B_annual_indep,deltamax_june,200,200,0,343,360.5,390.2,418.6,434.1,29.07,45.57,389.8,25.54,,,,0.1355,0.04362,0.2858,0.1379,0.9517,0.8846,0.1912,0.06473,0.09049,0.02292,,
B_annual_indep,log10d10,200,200,0,-0.66,-0.6449,-0.6071,-0.5714,-0.5541,0.03678,0.05299,-0.6066,0.03234,,,,-0.9874,0.9592,-0.1539,0.05572,-0.1654,0.05649,-0.02965,0.02796,-0.1171,0.03548,,
B_annual_indep,a1_300,200,200,0,0.3215,0.3897,0.5394,0.8222,1.155,0.2163,0.4166,0.5999,0.2248,,,,-0.05755,0.05056,-0.2911,0.1395,-0.8479,0.7308,-0.1819,0.07836,0.3199,0.08588,,
B_annual_indep,a1_350,199,200,0.005,0.6218,0.8037,1.26,1.705,1.866,0.4507,0.6222,1.26,0.3824,,,,-0.1066,0.02704,-0.2644,0.1226,-0.9358,0.8692,-0.1868,0.05492,0.07583,0.02392,,
B_annual_indep,a1_366,186,200,0.07,0.8273,1.038,1.521,1.751,1.932,0.3565,0.5523,1.444,0.3275,,,,-0.1473,0.04494,-0.1829,0.07927,-0.9352,0.8732,-0.1243,0.02777,0.04231,0.02556,,
B_annual_indep,a1_380,167,200,0.165,1.046,1.268,1.653,1.807,1.932,0.2696,0.4428,1.568,0.2591,,,,-0.1005,0.02558,-0.1221,0.05509,-0.9238,0.8533,-0.09795,0.0342,0.06432,0.02793,,
