m_chi_GeV,kind,ff,T_GeV,E_R_max_keV,N_lo
0.1,const,helm,0.17604108438655525,1076.9357476531384,349.9347414458844
0.1,const,helm,0.18015200408020238,1114.0579963276577,349.9347414458844
0.1,const,helm,0.1843589221641488,1152.611174248301,349.9347414458844
0.1,const,helm,0.18866408039732582,1192.655226236432,349.9347414458844
0.1,const,helm,0.19306977288832497,1234.2527417999759,349.9347414458844
0.1,const,helm,0.19757834731786994,1277.4690750932941,349.9347414458844
0.1,const,helm,0.20219220618983536,1322.3724703843864,349.9347414458844
0.1,const,helm,0.20691380811147903,1369.0341932827605,349.9347414458844
0.1,const,helm,0.21174566910357118,1417.5286679929263,349.93474144588436
0.1,const,helm,0.2166903639411181,1467.9336208705438,349.9347414458844
0.1,const,helm,0.22175052752539318,1520.3302305709306,349.93474144588436
0.1,const,helm,0.2269288562880081,1574.803285092874,349.93474144588447
0.1,const,helm,0.23222810962777246,1631.4413460345095,349.9347414458844
0.1,const,helm,0.23765111138110728,1690.3369203924724,349.9347414458844
0.1,const,helm,0.24320075132679475,1751.586640250612,349.93474144588436
0.1,const,helm,0.24887998672586673,1815.2914507203445,349.9347414458844
0.1,const,helm,0.25469184389745403,1881.5568065112132,349.93474144588447
0.1,const,helm,0.26063941983143474,1950.492877527408,349.9347414458844
0.1,const,helm,0.2667258838387405,2022.214763903988,349.93474144588447
0.1,const,helm,0.2729544792402007,2096.8427209153497,349.9347414458844
0.1,const,helm,0.2793285250948253,2174.5023942081134,349.93474144588447
0.1,const,helm,0.28585141796844715,2255.3250658310926,349.9347414458844
0.1,const,helm,0.2925266337436645,2339.4479115563863,349.93474144588436
0.1,const,helm,0.29935772947204903,2427.014270008033,349.9347414458844
0.1,const,helm,0.3063483452696084,2518.1739241380437,349.9347414458844
0.1,const,helm,0.3135022062565112,2613.08339561393,349.9347414458843
0.1,const,helm,0.32082312454210776,2711.9062527073615,349.9347414458844
0.1,const,helm,0.3283150012563047,2814.813432300159,349.93474144588447
0.1,const,helm,0.3359818286283781,2921.9835766516026,349.93474144588447
0.1,const,helm,0.34382769211433073,3033.603385599984,349.93474144588447
0.1,const,helm,0.3518567725739263,3149.867984901556,349.93474144588447
0.1,const,helm,0.360073348498562,3270.9813114416547,349.93474144588447
0.1,const,helm,0.3684817982911677,3397.1565160857176,349.9347414458844
0.1,const,helm,0.3770866025993452,3528.61638497227,349.93474144588436
0.1,const,helm,0.3858923467029903,3665.593780085864,349.93474144588447
0.1,const,helm,0.3949037229576702,3808.33209998538,349.93474144588447
0.1,const,helm,0.40412553329506,3957.085761602262,349.93474144588436
0.1,const,helm,0.4135626917817706,4112.1207040639165,349.93474144588436
0.1,const,helm,0.4232202272379275,4273.714915540034,349.9347414458844
0.1,const,helm,0.4331032859169001,4442.158984154044,349.9347414458844
0.1,const,helm,0.44321713424760856,4617.756674048121,349.93474144588436
0.1,const,helm,0.45356716164087024,4800.825527738412,349.93474144588436
0.1,const,helm,0.46415888336127775,4991.697495947454,349.9347414458844
0.1,const,helm,0.47499794346614127,5190.71959615323,349.93474144588436
0.1,const,helm,0.48609011781306305,5398.254601149117,349.93474144588436
0.1,const,helm,0.49744131713774514,5614.68175896583,349.93474144588436
0.1,const,helm,0.5090575902036681,5840.3975455659765,349.9347414458844
0.1,const,helm,0.5209451270253211,6075.816451783815,349.93474144588436
0.1,const,helm,0.5331102621667033,6321.371806047414,349.93474144588436
0.1,const,helm,0.5455594781168515,6577.516634487563,349.93474144588436
0.1,const,helm,0.5582994087441919,6844.7245601079185,349.93474144588447
0.1,const,helm,0.571336842831558,7123.490742763903,349.93474144588436
0.1,const,helm,0.584678727693759,7414.3328617739935,349.9347414458844
0.1,const,helm,0.5983321728796283,7717.792143066146,349.93474144588447
0.1,const,helm,0.6123044539605184,8034.434432844523,349.93474144588447
0.1,const,helm,0.6266030164072656,8364.851319847745,349.93474144588436
0.1,const,helm,0.6412354795576917,8709.661308359227,349.93474144588436
0.1,const,helm,0.6562096406767555,9069.51104422316,349.93474144588436
0.1,const,helm,0.6715334791115142,9445.076596216528,349.9347414458844
0.1,const,helm,0.6872151605431122,9837.064795228443,349.93474144588436
0.1,const,helm,0.7032630413380644,10246.214633802865,349.9347414458844
0.1,const,helm,0.7196856730011514,10673.298728709904,349.9347414458844
0.1,const,helm,0.7364918067322965,11119.124849324115,349.93474144588436
0.1,const,helm,0.7536903980898542,11584.537514706386,349.93474144588436
0.1,const,helm,0.7712906117627992,12070.419662408754,349.9347414458843
0.1,const,helm,0.7893018264543568,12577.694392148642,349.93474144588447
0.1,const,helm,0.8077336398796711,13107.326787631679,349.9347414458844
0.1,const,helm,0.8265958738801813,13660.325819939993,349.9347414458844
0.1,const,helm,0.84589857965743,14237.746336045957,349.93474144588436
0.1,const,helm,0.8656520431290936,14840.6911361598,349.93474144588436
0.1,const,helm,0.8858667904100823,15470.313143773714,349.9347414458844
0.1,const,helm,0.9065535934216359,16127.817672425517,349.93474144588447
0.1,const,helm,0.927723475631406,16814.464793371255,349.93474144588447
0.1,const,helm,0.949387717927582,17531.5718085284,349.9347414458843
0.1,const,helm,0.9715578646301858,18280.51583323052,349.9347414458844
0.1,const,helm,0.9942457296427418,19062.736493520002,349.93474144588447
0.1,const,helm,1.0174634027476064,19879.738742898313,349.9347414458844
0.1,const,helm,1.0412232560483043,20733.09580365252,349.93474144588447
0.1,const,helm,1.0655379505623053,21624.452238083984,349.9347414458844
0.1,const,helm,1.0904204429677526,22555.527155179596,349.9347414458844
0.1,const,helm,1.115883992507748,23528.117558488506,349.93474144588447
0.1,const,helm,1.1419421680558648,24544.101841196923,349.93474144588447
0.1,const,helm,1.168608855346651,25605.44343463176,349.9347414458844
0.1,const,helm,1.1958982643749794,26714.194616670964,349.9347414458844
0.1,const,helm,1.2238249369681924,27872.500486793542,349.9347414458844
0.1,const,helm,1.252403754535072,29082.603114765785,349.93474144588447
0.1,const,helm,1.2816499459957584,30346.845870233145,349.9347414458844
0.1,const,helm,1.3115790958968503,31667.677940769816,349.93474144588436
0.1,const,helm,1.342207152716012,33047.659046229295,349.93474144588447
0.1,const,helm,1.3735504373605123,34489.464357540375,349.93474144588436
0.1,const,helm,1.405625651864215,35995.88962840344,349.9347414458844
0.1,const,helm,1.438449888287663,37569.85654866346,349.93474144588447
0.1,const,helm,1.4720406378260014,39214.41832846721,349.93474144588447
0.1,const,helm,1.506415800129591,40932.76552265342,349.9347414458844
0.1,const,helm,1.5415936928422718,42728.23210517581,349.9347414458844
0.1,const,helm,1.5775930613623614,44604.301803723014,349.9347414458844
0.1,const,helm,1.6144330888316019,46564.61470507217,349.9347414458844
0.1,const,helm,1.6521334063573685,48612.97414209773,349.93474144588436
0.1,const,helm,1.69071410347358,50753.35387375174,349.93474144588436
0.1,const,helm,1.7301957388458944,52989.905569739836,349.9347414458844
0.1,const,helm,1.770599351226898,55326.96661203554,349.93474144588436
0.1,const,helm,1.8119464706671222,57769.06822580388,349.93474144588447
0.1,const,helm,1.8542591299878524,60320.94395274691,349.93474144588436
0.1,const,helm,1.8975598765218504,62987.53848033636,349.9347414458844
0.1,const,helm,1.941871784128255,65774.01684086361,349.9347414458844
0.1,const,helm,1.9872184654880534,68685.77399471101,349.93474144588436
0.1,const,helm,2.0336240846866724,71728.44481273674,349.9347414458844
0.1,const,helm,2.081113370090395,74907.91447316286,349.9347414458844
0.1,const,helm,2.129711627523478,78230.3292888688,349.93474144588436
0.1,const,helm,2.1794447537529833,81702.1079815092,349.9347414458844
0.1,const,helm,2.2303392502884964,85329.95341940965,349.93474144588436
0.1,const,helm,2.2824222375040977,89120.86483673575,349.9347414458844
0.1,const,helm,2.3357214690901213,93082.15055198502,349.9347414458844
0.1,const,helm,2.3902653468423893,97221.44120441277,349.9347414458844
0.1,const,helm,2.446082935796798,101546.70352757724,349.93474144588436
0.1,const,helm,2.5032039797173256,106066.25467977126,349.9347414458843
0.1,const,helm,2.561658916945727,110788.77715170158,349.93474144588436
0.1,const,helm,2.6214788966213534,115723.33427237441,349.9347414458844
0.1,const,helm,2.6826957952797246,120879.38633475354,349.93474144588447
0.1,const,helm,2.745342233838714,126266.80736337451,349.9347414458844
0.1,const,helm,2.809451594981406,131895.90254672023,349.9347414458844
0.1,const,helm,2.8750580409448774,137777.42635778864,349.93474144588436
0.1,const,helm,2.942196531724374,143922.60138691543,349.93474144588436
0.1,const,helm,3.0109028437025924,150343.1379115532,349.93474144588447
0.1,const,helm,3.081213588714002,157051.25422834666,349.93474144588436
0.1,const,helm,3.1531662335543613,164059.69777348387,349.9347414458844
0.1,const,helm,3.2267991199458086,171381.7670579432,349.93474144588447
0.1,const,helm,3.3021514849681757,179031.33444489955,349.93474144588447
0.1,const,helm,3.379263481967431,187022.86979719208,349.9347414458844
0.1,const,helm,3.4581762019523774,195371.46502338795,349.93474144588447
0.1,const,helm,3.538931695490988,204092.8595516064,349.93474144588447
0.1,const,helm,3.6215729951180746,213203.46676089315,349.93474144588436
0.1,const,helm,3.706144138266228,222720.40140054913,349.9347414458844
0.1,const,helm,3.792690190732246,232661.50802841887,349.9347414458844
0.1,const,helm,3.881257270691536,243045.3904997337,349.93474144588447
0.1,const,helm,3.971892573273302,253891.44253868508,349.93474144588436
0.1,const,helm,4.064644395709628,265219.879425462,349.9347414458844
0.1,const,helm,4.1595621630718425,277051.7708320233,349.93474144588436
0.1,const,helm,4.256696454607871,289409.0748403918,349.9347414458844
0.1,const,helm,4.356099030694608,302314.6731777556,349.93474144588447
0.1,const,helm,4.457822860419706,315792.4077031273,349.9347414458844
0.1,const,helm,4.561922149807459,329867.11818074266,349.9347414458844
0.1,const,helm,4.66845237070379,344564.6813757847,349.93474144588447
0.1,const,helm,4.777470290335773,359912.051508388,349.93474144588436
0.1,const,helm,4.889034001561443,375937.3021022056,349.9347414458845
0.1,const,helm,5.003202953825999,392669.669264103,349.93474144588436
0.1,const,helm,5.120037984840887,410139.5964317795,349.9347414458844
0.1,const,helm,5.239601353002644,428378.78062631114,349.93474144588447
0.1,const,helm,5.361956770568817,447420.2202467491,349.93474144588447
0.1,const,helm,5.487169437608599,467298.26444397884,349.93474144588436
0.1,const,helm,5.615306076746273,488048.6641110645,349.93474144588436
0.1,const,helm,5.746434968715974,509708.62452726555,349.9347414458844
0.1,const,helm,5.880625988746757,532316.8596928006,349.93474144588447
0.1,const,helm,6.017950643797328,555913.6483912423,349.93474144588447
0.1,const,helm,6.158482110660261,580540.8920161674,349.9347414458844
0.1,const,helm,6.302295274956023,606242.1741983584,349.93474144588447
0.1,const,helm,6.449466771037621,633062.822269426,349.9347414458844
0.1,const,helm,6.600075022827088,661049.970597214,349.9347414458844
0.1,const,helm,6.754200285605586,690252.6258277481,349.9347414458844
0.1,const,helm,6.911924688779366,720721.7340678015,349.9347414458844
0.1,const,helm,7.073332279644439,752510.2500413702,349.9347414458844
0.1,const,helm,7.238509068173248,785673.2082524563,349.93474144588436
0.1,const,helm,7.4075430728471625,820267.7961855521,349.9347414458844
0.1,const,helm,7.580524367559261,856353.4295741437,349.9347414458844
0.1,const,helm,7.757545129612414,893991.8297663451,349.9347414458844
0.1,const,helm,7.9386996888382235,933247.1032154381,349.9347414458844
0.1,const,helm,8.124084577862966,974185.8231216803,349.9347414458844
0.1,const,helm,8.313798583547333,1016877.113250188,349.93474144588447
0.1,const,helm,8.507942799627445,1061392.7339480682,349.93474144588447
0.1,const,helm,8.706620680585118,1107807.1703821644,349.93474144588436
0.1,const,helm,8.909938096776107,1156197.723016907,349.93474144588436
0.1,const,helm,9.118003390845681,1206644.6003497478,349.9347414458844
0.1,const,helm,9.330927435461664,1259231.01391955,349.93474144588447
0.1,const,helm,9.548823692395656,1314043.275601051,349.9347414458844
0.1,const,helm,9.771808272983899,1371170.8971961634,349.93474144588436
0.1,const,helm,10.0,1430706.692330434,349.93474144588436
0.1,const,shell,0.05948892077934334,251.60520331554142,1199.43135904325
0.1,const,shell,0.06087810885914762,258.8532757290958,1188.9426531031343
0.1,const,shell,0.06229973732441844,266.3353930223224,1185.3881811260428
0.1,const,shell,0.06375456372456506,274.060077079054,1184.4834036485383
0.1,const,shell,0.06524336329932624,282.03619286458877,1184.4834036485383
0.1,const,shell,0.06676692939187563,290.2729632207747,1184.4834036485386
0.1,const,shell,0.06832607387157402,298.7799843253735,1184.4834036485381
0.1,const,shell,0.06992162756659374,307.56724184615473,1184.4834036485383
0.1,const,shell,0.07155444070664578,316.64512782158147,1184.4834036485383
0.1,const,shell,0.07322538337604534,326.02445830141676,1184.4834036485383
0.1,const,shell,0.07493534597735753,335.71649178212766,1184.4834036485383
0.1,const,shell,0.0766852397058701,345.7329484735732,1184.4834036485383
0.1,const,shell,0.07847599703514611,356.0860304351495,1184.4834036485383
0.1,const,shell,0.08030857221391513,366.7884426213335,1184.4834036485383
0.1,const,shell,0.08218394177456802,377.8534148784105,1184.4834036485383
0.1,const,shell,0.08410310505352604,389.2947249361081,1184.4834036485386
0.1,const,shell,0.08606708472376164,401.1267224398739,1184.4834036485381
