m_chi_GeV,r,N_lo,N_L2,N_M,Z,s_hat,lo_events_hat,Z_LZ_O1v,Z_LZ_L1v,Z_LZ_L5v
400.0,1.6,4595.840078539012,121.75526413214249,12.954859215412538,0.029297205522577023,1.6131137045101777e-05,0.07413612614428412,,,
400.0,1.7,4695.91191222273,123.59131875710682,13.220167428565999,0.0,0.0,0.0,,,
400.0,1.8,4790.4766293689445,125.31796057022031,13.470791919970116,0.0,0.0,0.0,,,
400.0,1.9,4879.9443034416845,126.94414276878271,13.707834103479115,0.0,0.0,0.0,,,
400.0,2.0,4964.68921379045,128.47792869675263,13.932298174601776,0.0,0.0,0.0,,,
1000.0,-2.0,8444.899442061509,150.62440646673215,27.867179286587376,0.0,0.0,0.0,,,
1000.0,-1.9,8040.677336637103,139.8666342159029,26.489900414873908,0.0,0.0,0.0,,,
1000.0,-1.8,7478.111793026488,126.3131607845414,24.596415155288003,0.0,0.0,0.0,,,
1000.0,-1.7,6741.40801672655,109.96792467696548,22.139878912389225,0.0,0.0,0.0,,,
1000.0,-1.6,5836.448573017455,91.30757563146706,19.14559470822769,0.0,0.0,0.0,,,
1000.0,-1.5,4801.350244183055,71.40846214641748,15.744452874264974,0.0,0.0,0.0,,,
1000.0,-1.4,3708.740351138053,51.87743401237851,12.178554503974716,0.2350525193937877,0.00015005495795576823,0.5565148774588816,,,
1000.0,-1.3,2653.3506446529113,34.51292665593272,8.758797245919741,0.5199529070676124,0.00041634732744535356,1.1047154496766456,,,
1000.0,-1.2,1727.0435922347033,20.803224539161686,5.782460831072693,0.8501076791616927,0.0009197744193682594,1.588490517271347,,,
1000.0,-1.1,993.6630227189031,11.525165229707616,3.4519213871047296,1.2246650458146606,0.0019832118648888493,1.9706442963574469,,,
1000.0,-1.0,477.05124854280905,6.653074048790598,1.837566845876583,1.6503605545489577,0.00467068436230511,2.2281558065870266,1.3,1.3,1.3
1000.0,-0.9,165.51804692633624,5.5635686851262305,0.8944347990024804,2.1532346941106004,0.013992013842252333,2.315930803735868,,,
1000.0,-0.8,25.73738034582995,7.356517607692319,0.5087586341057391,2.7739984130634157,0.06896915027790021,1.7750852528310213,,,
1000.0,-0.7,16.980277589544666,11.123078962818598,0.5446424737660919,2.8243782137281737,0.07968575326161798,1.3530862103142376,,,
1000.0,-0.6,100.72718400192672,16.09524408399237,0.8750663927405857,2.313136096447428,0.020493824483300817,2.064285229632632,,,
1000.0,-0.5,245.16808343102454,21.69318068443694,1.396029369066439,1.9495750487107948,0.008825963891059009,2.163844651602365,,,
1000.0,-0.4,426.1766344511169,27.513328045882876,2.0292467743079112,1.6836371846661538,0.005003938521404559,2.132561678052493,,,
1000.0,-0.3,626.501427176808,33.29314659568143,2.719169237750442,1.4774260446241183,0.0032856411943484164,2.058458897450195,,,
1000.0,-0.2,834.3525193175386,38.873078508790876,3.428159708764163,1.3114823095548465,0.002357875690008507,1.9672995221961775,,,
1000.0,-0.1,1041.9887477591496,44.16436292425271,4.1317690248544965,1.174576941804607,0.0017945768424537502,1.8699288768259519,,,
1000.0,0.0,1244.540266429867,49.12475713539605,4.814839993661411,1.0595692857030057,0.0014236207828594106,1.7717533883949466,,,
1000.0,0.1,1439.111403533393,53.74139265406164,5.468561241227228,0.9615963652708052,0.0011644004244187815,1.675701929060191,,,
1000.0,0.2,1624.1314523830783,58.01917401552595,6.088348481550666,0.8771819611665743,0.0009748856776571418,1.5833424915607552,,,
1000.0,0.3,1798.8997104536559,61.97316417664476,6.672368195551292,0.8037520453680599,0.0008313377562932262,1.4954932490850765,,,
1000.0,0.4,1963.2733678086765,65.62371021411366,7.220530589915367,0.7393493545461731,0.0007194470478669284,1.4124712286257146,,,
1000.0,0.5,2117.456657334365,68.993398713779,7.733813360937445,0.6824544129819847,0.0006301759945152266,1.334370354878571,,,
