m_chi_GeV,r,R_lo,R_55_125,R_125_200,R_hi,N_lo,N_L2,N_M,N_55_200,rho_lo,rho_hi,rho_248,rho_q0,node1_keV,node2_keV,dRdE_248,R_hi_per_cp2
400.0,-1.22,3.4545447772111795e+17,3861889184822052.5,939800295059877.5,122220408045991.56,2826.4876811008794,31.597744162078257,7.689389277003809,39.28713343908207,0.0749946257342339,0.102189632109904,1.018236169003192,0.09460871142963927,80.0860005512632,199.31027701699148,2878325603478.6772,122220408045991.56
400.0,-1.2,3.172136771504451e+17,3488312194294691.0,866863763246076.9,123465327435837.66,2569.2531153355135,28.253374989893366,7.021110956811481,35.27448594670485,0.06886383743702007,0.1032305209147179,1.015215092464967,0.0875007421646503,79.40506925264545,198.07831566619618,2869785696711.709,123465327435837.66
400.0,-1.18,2.901842875819141e+17,3142013158148412.5,797250151237924.8,124863499778271.5,2324.0121260193237,25.16358394348946,6.384973612413999,31.548557555903457,0.0629960340497581,0.10439954595385696,1.0122459575036027,0.08067031194585036,78.68926045016804,196.7307881348194,2861392617149.583,124863499778271.5
400.0,-1.16,2.6436630901552534e+17,2822992076383217.5,730959459035422.2,126414925073293.31,2091.258677424759,22.331161251303932,5.782224358489505,28.11338560979344,0.0573912155724481,0.10569670722732137,1.0093287641191009,0.07411742077323949,77.91911186629221,195.32366106132926,2853146364792.303,126414925073293.31
400.0,-1.14,2.3975974145127856e+17,2531248948999105.0,667991686638568.5,128119603320902.89,1871.3743661128042,19.756921527918344,5.213813259829105,24.97073478774745,0.05204938200509,0.10712200473511096,1.0064635123114598,0.06784206864681763,77.07955627220817,193.91079576752634,2845046939639.8647,128119603320902.89
400.0,-1.12,2.1636458488917418e+17,2266783775996078.5,608346834047364.8,129977534521100.44,1664.6306277955268,17.439812074817368,4.68039985747388,22.120211932291244,0.046970533347683904,0.10867543847722591,1.003650202080681,0.061844255566584926,76.16811852784204,192.3451128443382,2837094341692.2725,129977534521100.44
400.0,-1.1,1.9418083932921152e+17,2029596557374132.0,552024901261809.25,131988718673885.78,1471.192699498723,15.377045688191012,4.18236427179612,19.559409959987132,0.04215466960022966,0.11035700845366606,1.0008888334267634,0.05612398153254119,75.17972073616939,190.78128972689626,2829288570949.5225,131988718673885.78
400.0,-1.08,1.73208504771391e+17,1819687293133268.5,499025888281903.0,134153155779259.08,1291.1250858414032,13.564252607873453,3.7198222090505273,17.28407481692398,0.037601790762727356,0.11216671466443154,0.9981794063497074,0.050681246544686503,74.10485764970988,189.1100610784346,2821629627411.617,134153155779259.08
400.0,-1.06,1.534475812157125e+17,1637055983273487.5,449349795107645.8,136470845837220.16,1124.3982571833833,11.995646199966671,3.292643145508322,15.288289345474993,0.03331189683517696,0.11410455710952222,0.9955219208495127,0.04551605060302081,72.92932368064547,187.3677642186408,2814117511078.555,136470845837220.16
400.0,-1.04,1.3489806866217608e+17,1481702627794790.0,402996621739037.7,138941788847769.16,970.8962996724941,10.664197143871595,2.900470946005876,13.564668089877472,0.0292849878175785,0.1161705357889382,0.9929163769261801,0.04062839370754422,71.63298265758989,185.51643451539178,2806752221950.338,138941788847769.16
400.0,-1.02,1.1755996711078174e+17,1353627226697175.2,359966368176078.8,141565984810906.0,830.4252414011047,9.56181125363735,2.5427461876304314,12.104557441267781,0.025521063709931967,0.11836465070267944,0.9903627745797087,0.036018275858256676,70.22761818510214,183.64996771778868,2799533760026.964,141565984810906.0
400.0,-1.0,1.0143327656152947e+17,1252829779980643.5,320259034418768.94,144343433726630.75,702.7217930372365,8.679506560397847,2.2187294991561677,10.898236059554016,0.022020124512237355,0.12068690185074597,0.9878611138100989,0.03168569705515818,68.66742426694998,181.61903923060382,2792462125308.4336,144343433726630.75
400.0,-0.98,8.651799701441928e+16,1179310287645195.0,283874620467108.25,147274135594943.34,587.4622632474637,8.007585872978545,1.9275252869102908,9.935111159888836,0.018782170224494674,0.12313728923313776,0.9854113946173507,0.027630657298248734,66.95021947746423,179.5584825181878,2785537317794.7476,147274135594943.34
400.0,-0.96,7.281412846945115e+16,1133068749690829.2,250813126321096.66,150358090415843.8,484.2714367286115,7.535801675567392,1.6681052920227,9.203906967590093,0.015807200846703916,0.1257158128498548,0.9830136170014638,0.023853156587528335,65.0444433093023,177.3908462887069,2778759337485.905,150358090415843.8
400.0,-0.94,6.032167092662509e+16,1114105166117546.4,221074551980734.2,153595298189332.2,392.731233558129,7.253510877294064,1.4393315068031731,8.692842384097238,0.013095216378865083,0.12842247270089716,0.9806677809624389,0.020353194922996982,62.9284303742973,175.130524105871,2772128184381.9067,153595298189332.2
400.0,-0.92,4.904062438594117e+16,1122419536925346.5,194658897446020.94,156985758915408.38,312.3890009180174,7.149817567402156,1.239978064194426,8.389795631596582,0.010646216820978193,0.1312572687862647,0.9783738865002753,0.017130772304654675,60.55360410079507,172.78639486087474,2765643858482.7524,156985758915408.38
400.0,-0.9,3.897098884739924e+16,1158011862114229.5,171566162716956.7,160529472594072.44,242.76532039661262,7.213702527027359,1.068751799557658,8.282454326585018,0.008460202173043212,0.13422020110595756,0.9761319336149733,0.014185888732501416,,170.36139984139047,2759306359788.4414,160529472594072.44
400.0,-0.88,3.011276431099939e+16,1220882141684195.5,151796347793541.56,164226439225324.38,183.36124471214794,7.4341387869288384,0.9243112650410188,8.358450051969857,0.006537172435060157,0.13731126965997567,0.9739419223065329,0.011518544206537206,,167.85309281942716,2753115688298.9746,164226439225324.38
400.0,-0.86,2.2465950776741596e+16,1311030375635244.5,135349452675775.52,168076658809164.22,133.66490585852046,7.8001929888658745,0.805284050948755,8.60547703981463,0.0048771276070290245,0.14053047444831906,0.9718038525749539,0.009128738726762044,,165.27551941297153,2747071844014.3516,168076658809164.22
400.0,-0.84,1.6030548244625878e+16,1428456563967376.5,122225477363658.6,172080131345591.9,93.15746169690802,8.301112701376193,0.7102823342120234,9.011395035588215,0.00348006768894982,0.14387781547098774,0.9697177244202366,0.007016472293175929,,162.6270479318536,2741174826934.5728,172080131345591.9
400.0,-0.82,1.0806556714652242e+16,1573160706680591.5,112424421857190.83,176236856834607.5,61.31836954397025,8.926400157924691,0.637916630360115,9.564316788284806,0.0023459926808225436,0.14735329272798167,0.9676835378423809,0.005181744905778854,,159.93729898853093,2735424637059.6377,176236856834607.5
400.0,-0.8,6793976186820694.0,1745142803774888.8,105946286156372.2,180546835276210.94,37.62999321714434,9.665873129845055,0.5868077720348267,10.252680901879883,0.0014749025826471974,0.15095690621930088,0.9657012928413871,0.003624556564570843,,157.20592618319344,2729821274389.5474,180546835276210.94
400.0,-0.78,3992806661131191.5,1944402855250269.8,102791070261202.66,185010066670402.25,21.581564360194662,10.509713823919904,0.5555971743112024,11.065310998231107,0.0008667973944237714,0.15468865594494535,0.9637709894172544,0.002344907269551866,,154.45428995345188,2724364738924.3,185010066670402.25
400.0,-0.76,2403048137583744.5,2170940861106733.5,102958774171682.17,189626551017181.4,12.672529899918986,11.448506812266137,0.5429554754827209,11.991462287748858,0.000521677116152268,0.15854854190491507,0.9618926275699832,0.0013427970207219428,,151.7077900425127,2719055030663.896,189626551017181.4
400.0,-0.74,2024700616178378.8,2424756821344280.0,106449397887810.84,194396288316548.44,10.415325486469287,12.473267068740977,0.547589662383225,13.020856731124203,0.000439541747832693,0.16253656409921005,0.9600662072995738,0.0006182258180810673,148.97992609028546,,2713892149608.337,194396288316548.44
400.0,-0.72,2857764096915073.0,2705850735962910.0,113262941409588.61,199319278568503.38,14.33762011100646,13.575459209947647,0.5682488027401807,14.143708012687828,0.0006203912894650416,0.16665272252783034,0.9582917286060258,0.00017119366162923977,146.29480650801577,,2708876095757.621,199319278568503.38
