E_MeV,dNdE_prod,J_wall,lam_rem_cm,S,N_tank_perMeV,N_lxe_perMeV
49.84045868862159,0.0012295746876449562,1.1273990836990599e-13,65.5265442480217,0.022032255456823604,2.481528711500713,0.002182501513720489
50.58320694263152,0.0011975515831352435,1.1038169542040385e-13,70.0,0.028115659748972035,2.4296218647892394,0.002726862609328807
51.33702401469305,0.0011626408299332414,1.0772501456296482e-13,70.0,0.028115659748972035,2.3711454129244878,0.0026612321289536073
52.102074858049015,0.0011287477871215845,1.0512942239865436e-13,70.0,0.028115659748972035,2.3140135900215517,0.002597110779893256
52.87852688416058,0.001095842786636893,1.0259361495619638e-13,70.0,0.028115659748972035,2.2581976942462068,0.002534466348921614
53.66654999934092,0.001063897025292471,1.0011631237571148e-13,70.0,0.028115659748972035,2.203669554482443,0.0024732672184589978
54.466316641935,0.001032882539565607,9.769625861108486e-14,70.0,0.028115659748972035,2.1504015237812637,0.002413482359219502
55.2780018200528,0.0010027721811198965,9.53322211291989e-14,70.0,0.028115659748972035,2.0983664727404574,0.0023550813227808548
56.10178314986577,0.0009735395930410944,9.302299060646075e-14,70.0,0.028115659748972035,2.047537782824845,0.0022980342340874565
56.93784089447313,0.0009451591867657709,9.076738062304478e-14,70.0,0.028115659748972035,1.9978893396362174,0.002242311783896962
57.78635800334792,0.0009176061196825159,8.856422735523552e-14,70.0,0.028115659748972035,1.9493955261414684,0.0021878852211799416
58.64752015237081,0.000890856273386111,8.641238926624456e-14,70.0,0.028115659748972035,1.902031215867137,0.0021347263454818393
59.52151578446012,0.0008648862325656446,8.431074679585178e-14,70.0,0.028115659748972035,1.8557717660680713,0.002082807499255891
60.408536150808075,0.0008396732645080517,8.225820204920012e-14,70.0,0.028115659748972035,1.8105930108774588,0.0020321015601751243
61.308775352730805,0.0008151952991991876,8.025367848506023e-14,70.0,0.028115659748972035,1.7664712544451935,0.001982581933431275
62.22243038414251,0.000791430910004972,7.82961206038571e-14,70.0,0.028115659748972035,1.7233832640709994,0.0019342225440278132
63.14970117466247,0.000768359294915721,7.638449363573997e-14,70.0,0.028115659748972035,1.6813062633385063,0.0018869978290740358
64.0907906333643,0.0007459602583372385,7.45177832289566e-14,70.0,0.028115659748972035,1.64021792525603,0.0018408827300866943
65.0459046931776,0.000724214193412725,7.269499513877988e-14,70.0,0.028115659748972035,1.6000963654095035,0.0017958526853052476
